PC1,PC2,FI_Category
-0.9694502646754238,1.2380018026441266,Elevated
1.8042034402326732,0.18456393455972508,High
3.2628379395574614,0.05915633909315303,High
-0.5954436044726606,0.4555389048083996,Elevated
-0.49106474289035135,0.3109227055765079,High
0.09485387320283162,3.4081464905458496,High
-0.8569101687911187,0.6452333248791319,High
5.546160696210816,-1.678014773512514,Elevated
-0.846309088388655,1.5664662192669323,High
-0.575896090887943,0.6893369653588489,High
-0.36564212430329845,0.0418999562307824,High
-0.8373449565428611,0.4200658884594154,High
-0.6580330075538102,0.7113780569879852,Elevated
0.10017601964817974,0.006713122858487393,Elevated
-0.6139661161805395,-0.04438049862876623,Elevated
-0.48881877597774315,0.6071841945148556,High
-0.5604616287664825,1.8060812849582635,High
-0.1693012726522002,-0.716501853528744,Elevated
-0.8845093006512532,1.947700651480949,High
0.4558436764455027,-1.2487430301954237,Elevated
-0.7798313827944693,2.4105188850873835,High
-0.43828569760239927,1.0374624750866095,High
-0.32443987103676536,0.6953044145996107,Elevated
-0.898436819796906,1.139454980302499,High
1.1604705596147213,-0.11629305904792739,Elevated
0.6123460048193523,-1.1938057523728693,Elevated
-0.8332872322407403,1.2687501965997767,High
-0.43771693767616926,-0.808282037601526,Moderate
0.47671326076342657,0.03965051227527923,Elevated
-0.5004842568620448,1.1777788726801226,High
1.4960597210125233,-0.40541160481047644,High
-0.9508276737187418,2.5786161692085057,High
-0.331520936363667,-0.27370255798119736,High
0.9654274017338471,-0.5966612304667134,High
-0.34257549905002666,-0.24458219317801452,High
0.1371380149122463,0.6571682501562176,High
-0.8686203924705057,3.130316010850627,High
-0.42492890425842283,0.3693453329830471,High
-0.6040425417812769,2.670115699521704,High
0.43769504065201525,-0.16760962487911138,High
-1.0450066224657084,1.889855006309993,High
-0.4104785411537637,-1.8110176401137117,Low
-0.8239802884101106,-0.4883594389440625,Low
-0.5908043404971809,-2.0262398372710075,Low
-0.543338483473513,-1.5017765921038626,Low
-0.2812277544458022,-2.7364163970707907,Low
-0.428053551216814,-2.8157194784198403,Low
-0.8697807510977099,-0.24759148064247405,Low
-0.7532238373928465,-1.1653657304916194,Low
-0.7468345134045361,-1.0152705043801884,Low
-0.7721320478519764,-0.6554337870064494,Low
-0.6132867432937305,-2.2278582402456997,Low
-1.1584473295917017,2.950052886783589,Elevated
-0.6240923153910903,-1.750712594411513,Low
-0.32191266207308117,-2.413238175769799,Low
-0.5405071162676863,-2.128959333229783,Low
-0.9218282798169617,0.016967955880967774,Low
-0.8057511517482726,-0.8991028347053371,Low
-1.2541745114776035,4.237179287435437,High
-0.6574313790521913,-1.1091290040575124,Low
-0.7881562234296082,-0.41017695425630074,Low
-0.6452331565792148,-1.1528178022689024,Low
-0.2189160076206995,-0.9157266068539339,Low
-0.5609662544785656,-1.528754924888674,Low
-0.6299208706756394,-1.5207119536722495,Low
-0.8242173138845516,-0.44609141708878575,Low
-0.6121291054148011,-1.709200116349242,Low
-0.5652512742857856,-2.21473206471639,Low
-0.03699801284309474,-1.986919770152922,Low
-0.8238960685878941,-0.7527082868913831,Low
-0.619759230589812,-1.5303646758228626,Low
-0.5599866607760315,-1.1000986018765335,Low
-0.695913922651196,-0.4786038180368226,Low
-0.7094662593223928,-1.2412834066603682,Low
-0.7264416778465094,-1.1149933743542064,Low
-0.9480139929940208,0.2877643607992789,Low
-0.5040576089614873,-2.568944626126945,Low
-0.23228938347131287,-2.2011524904537385,Low
-0.8256762360721496,2.01522206207441,High
-0.7271155214990775,-0.0799666672733003,Moderate
5.926098750860822,0.5068954593114285,High
8.933896346655215,0.8839537928685134,High
-0.4489719077722543,1.0237994300153692,High
-0.1467995314649512,-0.06493247774747189,Elevated
0.0401054586010083,-0.7963486918954353,Moderate
-0.49293890983222816,-0.4826336801280701,Elevated
2.0705087653559406,-0.7668021642886057,Elevated
-0.9341021902076562,1.1796318127749095,Elevated
-0.3576550563793263,-0.3854813945017621,Moderate
0.5482008778000885,-0.8793978513402144,Moderate
0.11019124504941147,0.18304156300805466,Elevated
-1.0360762030374213,1.8476954585061218,High
-0.5994181737885579,-0.43950549449556425,Elevated
-0.17013936340750432,-1.0738539456162226,Moderate
0.7634705507742363,-1.7392255615535648,Moderate
0.42373960673563854,-1.1697089967217726,Moderate
-0.5617709101163634,-0.3494218255079368,Moderate
-0.5998345828965326,0.7701435908040098,High
-0.513896353049863,-1.026467359648721,Moderate
-0.41742668669642113,1.0091976355787178,High
0.5669524918664565,-0.8698814951043908,Elevated
-0.3344156678012297,-2.2761313866428434,Low
-0.4330660752339871,0.5009310266965827,Elevated
-0.4943465080410518,-0.3570248168764568,High
-0.7379421901094928,0.646561062625909,High
-0.6112404214324163,0.6885888670949559,High
-0.47760603085566417,0.12476869445469102,Elevated
-0.42613680068706344,-0.9606076312675624,Elevated
-0.2047794140838536,0.7874856822792142,High
-0.3662541712319947,-0.4797689606430477,Moderate
-0.5314511618939085,-1.1797614666484633,Moderate
-0.41220151769935404,0.14068603216107922,Moderate
-0.37069393750711166,-1.7106422729156505,Low
-0.44767612509820454,-0.6968284249391326,Moderate
-0.3581809365532993,-1.2880367500642547,Elevated
-0.6862250591340632,0.3648099879470611,Elevated
-0.7777691246547446,1.8193560539476012,High
-0.3687870305591193,-0.35597769296506504,Elevated
-0.5609128603565374,2.678321156351576,High
-0.8829722625068425,1.807108927294187,High
0.6202886817210214,-2.4353781046404896,Low
3.1244429907516493,1.1985509729231376,High
-1.1032937260330902,1.7408527587180016,High
-0.4511202837426459,-0.03467876007926997,Elevated
2.225651148365837,0.07602970113422362,Elevated
-0.715777838684758,0.7495534137107344,Elevated
0.8084002131371966,-3.905616480744463,Low
0.1470501352505932,-2.4534767772981043,Low
-0.6666749049050342,0.30639827640145123,Elevated
0.9928646356586186,-1.7244071650363622,Moderate
-0.33988722897316315,0.9594534353243888,Elevated
10.712849676324733,1.8477659376824915,High
-0.5185997386904365,-0.682133356632759,Moderate
0.02030751932834618,-1.038421353949822,Elevated
-0.9330424944557903,0.8535432437441619,Elevated
0.8549406287925794,0.614338632322994,Elevated
0.2233740059461819,-1.1701937450569284,Elevated
-0.47001447240453664,-0.4382662569527869,Elevated
-0.8460613936079044,-0.3925418744049644,Low
-0.6573307019025642,-1.5222466344511323,Low
-0.4484879609834107,-0.3865007813206267,Elevated
4.022639846134477,0.10459710427320472,High
-0.44698171982190393,-0.4209738759143726,Moderate
-1.1281143644566516,2.169234340908359,High
-0.97475258214712,0.8880490164891888,Elevated
-0.6554729134950699,1.2946580586175918,High
-0.5004478151683167,-0.12623144672181139,Elevated
-1.0239817187461109,1.1596795553530366,Elevated
-0.41435650524037465,-0.03918566356407809,Elevated
-0.7327917574346575,0.22400171421154647,Moderate
-0.6017219635595101,0.8909686958590631,Elevated
-0.5522391840103295,0.15993680311248154,Elevated
-0.7279914853259556,-0.9282995949452106,Moderate
-0.5840099559243189,-1.0243544896083643,Moderate
-0.7078802392305666,1.8090879076831292,High
-0.7303537621468484,1.2346847218372747,Elevated
-0.7899600069186431,-0.48386907981874416,Moderate
-0.39926681407332015,-0.273077178262334,Moderate
-0.26164867166488354,0.5442588579545733,High
-0.3121284593221083,0.5099759432008459,Elevated
-0.3088961375588821,-0.1697652225531373,Elevated
