mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,k,mean_score
0.036298704147338864,0.0019914884639123344,0.09327373504638672,0.006779854355518443,1,{'knn__n_neighbors': 1},0.6062296562948979,0.5999280175132228,0.5980974757142165,0.6117094398247477,0.6006479226290867,0.6033225023952343,0.004995379296909112,20,1,0.6033225023952343
0.03715047836303711,0.0012721666023141572,0.1268397808074951,0.006110643307162291,3,{'knn__n_neighbors': 3},0.6172533379694679,0.6109367522114937,0.6186657747765765,0.6275759951678088,0.6186414344981371,0.6186146589246968,0.005312481967283358,12,3,0.6186146589246968
0.036658430099487306,0.002436912331735962,0.15127840042114257,0.010056902281905014,5,{'knn__n_neighbors': 5},0.6252515886835766,0.6222478877710096,0.6314109921887797,0.6309600822289703,0.6274941375870899,0.6274729376918853,0.0034613418719030365,4,5,0.6274729376918853
0.034187602996826175,0.0017919214838510594,0.17279324531555176,0.009674030058816466,7,{'knn__n_neighbors': 7},0.6305696393267033,0.6323768693154685,0.6231675447448772,0.6347417990867044,0.6377175672615303,0.6317146839470567,0.004899004783464525,1,7,0.6317146839470567
0.036097383499145506,0.001859149920239988,0.18779659271240234,0.01449931250873419,9,{'knn__n_neighbors': 9},0.6303667989047077,0.6240487199340004,0.6301779993128582,0.6289037817043477,0.6391411064066364,0.63052768125251,0.004877565847505405,2,9,0.63052768125251
0.03753938674926758,0.00500033670139153,0.20131254196166992,0.012869282793136375,11,{'knn__n_neighbors': 11},0.6207003577576988,0.6273872891468776,0.6248094096493311,0.6305181739964423,0.6369578989042095,0.6280746258909119,0.005484475657295369,3,11,0.6280746258909119
0.03797235488891602,0.0037898415901247953,0.2045466423034668,0.014944206186869027,13,{'knn__n_neighbors': 13},0.6148580583386265,0.6228095944597293,0.6283652948788798,0.6316521982619946,0.6294813745451687,0.6254333040968798,0.006039499383963424,5,13,0.6254333040968798
0.037976551055908206,0.005271986478734354,0.2159435272216797,0.005082431462796939,15,{'knn__n_neighbors': 15},0.611922878051438,0.6254649275705041,0.6307182627961276,0.6272394240614535,0.6276897731368498,0.6246070531232746,0.006563591530923443,6,15,0.6246070531232746
0.03552026748657226,0.0032925379315204514,0.233397912979126,0.010354762601915842,17,{'knn__n_neighbors': 17},0.6073742019869897,0.6278485648608945,0.6239893824155903,0.6237661020444734,0.6268706086447133,0.6219697719905323,0.0074687977236446036,7,17,0.6219697719905323
0.033917999267578124,0.0015637916412797799,0.22805328369140626,0.019255202037156666,19,{'knn__n_neighbors': 19},0.6046755791295664,0.6239587640047469,0.6218907503746484,0.6231993156301961,0.6231411383284713,0.6193731094935259,0.0073786453553937115,10,19,0.6193731094935259
0.03649635314941406,0.004615621188057831,0.24325985908508302,0.019852329661794982,21,{'knn__n_neighbors': 21},0.6083698729619603,0.6183008249257735,0.6229504502825352,0.6245099345814491,0.6236824684737456,0.6195627102450928,0.005996602038886233,8,21,0.6195627102450928
0.0331787109375,0.0018120392526563027,0.24124045372009278,0.017369062751772163,23,{'knn__n_neighbors': 23},0.6084465725301157,0.6175915275151347,0.6234756418633284,0.6256328447585006,0.6183667788872875,0.6187026731108733,0.005955561742849678,11,23,0.6187026731108733
0.03310737609863281,0.001625137418252491,0.2441695213317871,0.008816862078600602,25,{'knn__n_neighbors': 25},0.6073300161932202,0.6151282546868284,0.6277427321261737,0.6240559578235018,0.6175545366979102,0.6183622995055269,0.007116643350879098,15,25,0.6183622995055269
0.035428762435913086,0.002723339243720403,0.28150143623352053,0.017195927350586667,27,{'knn__n_neighbors': 27},0.6083640348686363,0.6164110619933185,0.6276835093128946,0.6222255957678178,0.6170846965629747,0.6183537797011283,0.006437616642904853,16,27,0.6183537797011283
0.0359560489654541,0.0018661442793705273,0.2889238357543945,0.014865840882795597,29,{'knn__n_neighbors': 29},0.6061734387773675,0.6174221141215596,0.623147054007949,0.6203325347820943,0.6192240177398035,0.6172598318857547,0.005846252836684809,19,29,0.6172598318857547
0.041164827346801755,0.013673324455574036,0.27201356887817385,0.01885657447133791,31,{'knn__n_neighbors': 31},0.6088553439682035,0.6187590652362938,0.6212638507495611,0.6195788445177829,0.6192386522582747,0.6175391513460232,0.004423092531411327,18,31,0.6175391513460232
0.03527126312255859,0.002656160561841201,0.27953262329101564,0.015618426156845819,33,{'knn__n_neighbors': 33},0.6104832696610129,0.6200598928764911,0.6229412059148272,0.6177118378606239,0.6189648774570389,0.6180322167539988,0.004151355101021161,17,33,0.6180322167539988
0.03422417640686035,0.0031756039920142875,0.2734727382659912,0.013289931002073912,35,{'knn__n_neighbors': 35},0.6114937370956606,0.6211550966868588,0.6247184497299038,0.6221530818471245,0.6181368036524781,0.6195314338024052,0.0045379293839713985,9,35,0.6195314338024052
0.036214160919189456,0.0022940495999453545,0.28464455604553224,0.03735953368007944,37,{'knn__n_neighbors': 37},0.6107207189706343,0.6200892822105832,0.6218210861163165,0.6202524849101628,0.6199482965298257,0.6185663737475044,0.003980436737283495,14,37,0.6185663737475044
0.03304157257080078,0.0023810550571714277,0.21828622817993165,0.01351914023913334,39,{'knn__n_neighbors': 39},0.6099626602641506,0.6190583582965287,0.6218661570665608,0.6202906036268862,0.6218268117634694,0.618600918203519,0.004444141370130833,13,39,0.618600918203519
